Name,Position,Roster Position,TeamAbbrev,Week,Salary,%Drafted,FPTS,Non_TD_FPTS,TD_FPTS
Cam Ward,QB,QB,TEN,2,4900,0.25%,10.8,0.0,0.0
Calvin Ridley,WR,WR/FLEX,TEN,2,4900,3.16%,8.7,8.7,0.0
Jakobi Meyers,WR,WR/FLEX,LV,2,4900,19.92%,12.8,12.8,0.0
Austin Ekeler,RB,RB/FLEX,WAS,2,4800,1.87%,4.4,4.4,0.0
Matthew Golden,WR,WR/FLEX,GB,2,4800,1.79%,1.5,0.0,0.0
Cam Skattebo,RB,RB/FLEX,NYG,2,4800,0.18%,13.9,7.9,6.0
Jaydon Blue,RB,RB/FLEX,DAL,2,4800,0.02%,0.0,0.0,0.0
Rome Odunze,WR,WR/FLEX,CHI,2,4800,3.06%,34.8,22.8,12.0
Sam LaPorta,TE,TE/FLEX,DET,2,4800,4.90%,5.6,5.6,0.0
Spencer Rattler,QB,QB,NO,2,4800,0.30%,21.68,9.68,12.0
Jauan Jennings,WR,WR/FLEX,SF,2,4800,0.67%,19.9,13.9,6.0
Adam Thielen,WR,WR/FLEX,MIN,2,4800,0.63%,4.6,4.6,0.0
Najee Harris,RB,RB/FLEX,LAC,2,4800,0.14%,6.8,6.8,0.0
Keenan Allen,WR,WR/FLEX,LAC,2,4800,12.50%,17.1,11.1,6.0
Tank Bigsby,RB,RB/FLEX,PHI,2,4700,0.04%,0.0,0.0,0.0
Mark Andrews,TE,TE/FLEX,BAL,2,4700,2.90%,1.4,1.4,0.0
Luther Burden III,WR,WR/FLEX,CHI,2,4700,0.05%,1.5,0.0,0.0
Calvin Austin III,WR,WR/FLEX,PIT,2,4700,1.87%,3.2,3.2,0.0
Anthony Richardson Sr.,QB,QB,IND,2,4700,0.01%,0.0,0.0,0.0
DJ Giddens,RB,RB/FLEX,IND,2,4700,0.14%,0.0,0.0,0.0
Rachaad White,RB,RB/FLEX,TB,2,4700,0.12%,14.6,8.6,6.0
Christian Kirk,WR,WR/FLEX,HOU,2,4700,0.0,0.0,0.0,0.0
Jerome Ford,RB,RB/FLEX,CLE,2,4600,0.05%,10.4,10.4,0.0
Rashod Bateman,WR,WR/FLEX,BAL,2,4600,0.52%,3.5,3.5,0.0
Jaxson Dart,QB,QB,NYG,2,4600,0.02%,-0.3,-0.3,0.0
Jameis Winston,QB,QB,NYG,2,4600,0.0,0.0,0.0,0.0
Trey Benson,RB,RB/FLEX,ARI,2,4600,1.07%,8.4,8.4,0.0
Josh Downs,WR,WR/FLEX,IND,2,4600,0.48%,11.1,11.1,0.0
Kirk Cousins,QB,QB,ATL,2,4600,0.0,0.0,0.0,0.0
Dillon Gabriel,QB,QB,CLE,2,4500,0.0,0.0,0.0,0.0
Shedeur Sanders,QB,QB,CLE,2,4500,0.01%,0.0,0.0,0.0
Antonio Gibson,RB,RB/FLEX,NE,2,4500,0.02%,9.8,9.8,0.0
Kayshon Boutte,WR,WR/FLEX,NE,2,4500,2.93%,8.6,2.6,6.0
Isaac Guerendo,RB,RB/FLEX,SF,2,4500,0.01%,0.0,0.0,0.0
Rashid Shaheed,WR,WR/FLEX,NO,2,4500,1.25%,15.2,9.2,6.0
Rico Dowdle,RB,RB/FLEX,CAR,2,4500,0.09%,2.9,2.9,0.0
Tyler Warren,TE,TE/FLEX,IND,2,4500,8.48%,11.9,11.9,0.0
Kareem Hunt,RB,RB/FLEX,KC,2,4500,0.35%,4.4,4.4,0.0
Woody Marks,RB,RB/FLEX,HOU,2,4500,0.01%,6.1,6.1,0.0
Raheem Mostert,RB,RB/FLEX,LV,2,4500,0.04%,0.0,0.0,0.0
David Njoku,TE,TE/FLEX,CLE,2,4400,2.27%,8.0,8.0,0.0
Wan'Dale Robinson,WR,WR/FLEX,NYG,2,4400,0.31%,31.2,25.2,6.0
Tyson Bagent,QB,QB,CHI,2,4400,0.0,0.0,0.0,0.0
Ollie Gordon II,RB,RB/FLEX,MIA,2,4400,0.02%,2.3,2.3,0.0
Ray Davis,RB,RB/FLEX,BUF,2,4400,0.06%,2.4,2.4,0.0
Joshua Palmer,WR,WR/FLEX,BUF,2,4400,1.34%,6.7,6.7,0.0
Kenneth Gainwell,RB,RB/FLEX,PIT,2,4400,0.21%,6.6,6.6,0.0
Will Shipley,RB,RB/FLEX,PHI,2,4400,0.0,0.0,0.0,0.0
Tyler Allgeier,RB,RB/FLEX,ATL,2,4400,0.10%,15.0,9.0,6.0
Jeremy McNichols,RB,RB/FLEX,WAS,2,4300,0.07%,0.0,0.0,0.0
Romeo Doubs,WR,WR/FLEX,GB,2,4300,3.33%,11.8,5.8,6.0
Cedric Tillman,WR,WR/FLEX,CLE,2,4300,3.09%,10.2,4.2,6.0
Samaje Perine,RB,RB/FLEX,CIN,2,4300,0.01%,0.0,0.0,0.0
Devin Singletary,RB,RB/FLEX,NYG,2,4300,0.03%,1.0,1.0,0.0
Miles Sanders,RB,RB/FLEX,DAL,2,4300,0.19%,9.9,3.9,6.0
DeMario Douglas,WR,WR/FLEX,NE,2,4300,0.50%,1.8,0.0,0.0
Tyler Shough,QB,QB,NO,2,4300,0.0,0.0,0.0,0.0
Jimmy Garoppolo,QB,QB,LAR,2,4300,0.01%,0.0,0.0,0.0
Blake Corum,RB,RB/FLEX,LAR,2,4300,0.01%,10.4,4.4,6.0
Jaleel McLaughlin,RB,RB/FLEX,DEN,2,4300,0.03%,0.0,0.0,0.0
T.J. Hockenson,TE,TE/FLEX,MIN,2,4300,1.95%,2.2,2.2,0.0
Jayden Higgins,WR,WR/FLEX,HOU,2,4300,0.55%,3.8,3.8,0.0
Justice Hill,RB,RB/FLEX,BAL,2,4200,0.10%,5.5,5.5,0.0
DeAndre Hopkins,WR,WR/FLEX,BAL,2,4200,1.41%,14.4,8.4,6.0
Bhayshul Tuten,RB,RB/FLEX,JAX,2,4200,0.10%,15.4,9.4,6.0
Dyami Brown,WR,WR/FLEX,JAX,2,4200,0.35%,17.6,11.6,6.0
Kyle Monangai,RB,RB/FLEX,CHI,2,4200,0.06%,4.6,4.6,0.0
Ty Johnson,RB,RB/FLEX,BUF,2,4200,0.05%,0.6,0.6,0.0
Evan Engram,TE,TE/FLEX,DEN,2,4200,0.35%,2.2,2.2,0.0
Dameon Pierce,RB,RB/FLEX,HOU,2,4200,0.06%,0.0,0.0,0.0
Emanuel Wilson,RB,RB/FLEX,GB,2,4100,0.03%,0.0,0.0,0.0
Raheim Sanders,RB,RB/FLEX,CLE,2,4100,0.03%,0.0,0.0,0.0
Kendre Miller,RB,RB/FLEX,NO,2,4100,0.09%,2.0,2.0,0.0
Andy Dalton,QB,QB,CAR,2,4100,0.0,0.0,0.0,0.0
Tyler Badie,RB,RB/FLEX,DEN,2,4100,0.05%,4.2,4.2,0.0
Alec Pierce,WR,WR/FLEX,IND,2,4100,0.21%,10.8,10.8,0.0
Marvin Mims Jr.,WR,WR/FLEX,DEN,2,4100,0.33%,10.4,4.4,6.0
A.J. Dillon,RB,RB/FLEX,PHI,2,4100,0.03%,1.9,1.9,0.0
Kyle Pitts Sr.,TE,TE/FLEX,ATL,2,4100,3.47%,7.7,7.7,0.0
Marcus Mariota,QB,QB,WAS,2,4000,0.0,0.0,0.0,0.0
Josh Johnson,QB,QB,WAS,2,4000,0.0,0.0,0.0,0.0
Sam Hartman,QB,QB,WAS,2,4000,0.0,0.0,0.0,0.0
Malik Willis,QB,QB,GB,2,4000,0.0,0.0,0.0,0.0
Clayton Tune,QB,QB,GB,2,4000,0.0,0.0,0.0,0.0
Chris Rodriguez Jr.,RB,RB/FLEX,WAS,2,4000,0.01%,0.0,0.0,0.0
Donovan Edwards,RB,RB/FLEX,WAS,2,4000,0.01%,0.0,0.0,0.0
Chris Brooks,RB,RB/FLEX,GB,2,4000,0.05%,5.7,5.7,0.0
MarShawn Lloyd,RB,RB/FLEX,GB,2,4000,0.0,0.0,0.0,0.0
Israel Abanikanda,RB,RB/FLEX,GB,2,4000,0.0,0.0,0.0,0.0
Cooper Rush,QB,QB,BAL,2,4000,0.0,0.0,0.0,0.0
Tyler Huntley,QB,QB,BAL,2,4000,0.0,0.0,0.0,0.0
Deshaun Watson,QB,QB,CLE,2,4000,0.0,0.0,0.0,0.0
Bailey Zappe,QB,QB,CLE,2,4000,0.0,0.0,0.0,0.0
Rasheen Ali,RB,RB/FLEX,BAL,2,4000,0.02%,0.0,0.0,0.0
Keaton Mitchell,RB,RB/FLEX,BAL,2,4000,0.0,0.0,0.0,0.0
D'Ernest Johnson,RB,RB/FLEX,BAL,2,4000,0.0,0.0,0.0,0.0
Lucas Scott,RB,RB/FLEX,BAL,2,4000,0.0,0.0,0.0,0.0
Patrick Ricard,RB,RB/FLEX,BAL,2,4000,0.0,0.0,0.0,0.0
Trayveon Williams,RB,RB/FLEX,CLE,2,4000,0.0,0.0,0.0,0.0
Ahmani Marshall,RB,RB/FLEX,CLE,2,4000,0.0,0.0,0.0,0.0
Nick Mullens,QB,QB,JAX,2,4000,0.0,0.0,0.0,0.0
Seth Henigan,QB,QB,JAX,2,4000,0.0,0.0,0.0,0.0
Jake Browning,QB,QB,CIN,2,4000,0.0,0.0,0.0,0.0
Brett Rypien,QB,QB,CIN,2,4000,0.0,0.0,0.0,0.0
LeQuint Allen Jr.,RB,RB/FLEX,JAX,2,4000,0.02%,1.3,1.3,0.0
Ja'Quinden Jackson,RB,RB/FLEX,JAX,2,4000,0.0,0.0,0.0,0.0
Tahj Brooks,RB,RB/FLEX,CIN,2,4000,0.0,0.0,0.0,0.0
Gary Brightwell,RB,RB/FLEX,CIN,2,4000,0.0,0.0,0.0,0.0
Kendall Milton,RB,RB/FLEX,CIN,2,4000,0.01%,0.0,0.0,0.0
Joe Milton III,QB,QB,DAL,2,4000,0.0,0.0,0.0,0.0
Will Grier,QB,QB,DAL,2,4000,0.0,0.0,0.0,0.0
Eric Gray,RB,RB/FLEX,NYG,2,4000,0.0,0.0,0.0,0.0
Dante Miller,RB,RB/FLEX,NYG,2,4000,0.0,0.0,0.0,0.0
Phil Mafah,RB,RB/FLEX,DAL,2,4000,0.0,0.0,0.0,0.0
Hunter Luepke,RB,RB/FLEX,DAL,2,4000,0.0,0.0,0.0,0.0
Malik Davis,RB,RB/FLEX,DAL,2,4000,0.0,0.0,0.0,0.0
Kyle Allen,QB,QB,DET,2,4000,0.0,0.0,0.0,0.0
C.J. Beathard,QB,QB,DET,2,4000,0.0,0.0,0.0,0.0
Case Keenum,QB,QB,CHI,2,4000,0.0,0.0,0.0,0.0
Craig Reynolds,RB,RB/FLEX,DET,2,4000,0.0,0.0,0.0,0.0
Sione Vaki,RB,RB/FLEX,DET,2,4000,0.0,0.0,0.0,0.0
Jacob Saylors,RB,RB/FLEX,DET,2,4000,0.0,0.0,0.0,0.0
Kye Robichaux,RB,RB/FLEX,DET,2,4000,0.0,0.0,0.0,0.0
Travis Homer,RB,RB/FLEX,CHI,2,4000,0.0,0.0,0.0,0.0
Deion Hankins,RB,RB/FLEX,CHI,2,4000,0.0,0.0,0.0,0.0
Brittain Brown,RB,RB/FLEX,CHI,2,4000,0.0,0.0,0.0,0.0
Joshua Dobbs,QB,QB,NE,2,4000,0.0,0.0,0.0,0.0
Tommy DeVito,QB,QB,NE,2,4000,0.0,0.0,0.0,0.0
Zach Wilson,QB,QB,MIA,2,4000,0.0,0.0,0.0,0.0
Quinn Ewers,QB,QB,MIA,2,4000,0.0,0.0,0.0,0.0
Lan Larison,RB,RB/FLEX,NE,2,4000,0.0,0.0,0.0,0.0
Deneric Prince,RB,RB/FLEX,NE,2,4000,0.0,0.0,0.0,0.0
Jack Westover,RB,RB/FLEX,NE,2,4000,0.0,0.0,0.0,0.0
Terrell Jennings,RB,RB/FLEX,NE,2,4000,0.0,0.0,0.0,0.0
Brock Lampe,RB,RB/FLEX,NE,2,4000,0.0,0.0,0.0,0.0
Jeff Wilson Jr.,RB,RB/FLEX,MIA,2,4000,0.0,0.0,0.0,0.0
Alexander Mattison,RB,RB/FLEX,MIA,2,4000,0.0,0.0,0.0,0.0
JaMycal Hasty,RB,RB/FLEX,MIA,2,4000,0.0,0.0,0.0,0.0
Alec Ingold,RB,RB/FLEX,MIA,2,4000,0.0,0.0,0.0,0.0
Hunter Henry,TE,TE/FLEX,NE,2,4000,3.68%,1.9,1.9,0.0
Mac Jones,QB,QB,SF,2,4000,2.31%,22.76,10.76,12.0
Kurtis Rourke,QB,QB,SF,2,4000,0.0,0.0,0.0,0.0
Adrian Martinez,QB,QB,SF,2,4000,0.0,0.0,0.0,0.0
Jordan James,RB,RB/FLEX,SF,2,4000,0.0,0.0,0.0,0.0
Patrick Taylor Jr.,RB,RB/FLEX,SF,2,4000,0.0,0.0,0.0,0.0
Sincere McCormick,RB,RB/FLEX,SF,2,4000,0.0,0.0,0.0,0.0
Kyle Juszczyk,RB,RB/FLEX,SF,2,4000,0.02%,1.5,1.5,0.0
Devin Neal,RB,RB/FLEX,NO,2,4000,0.01%,0.0,0.0,0.0
Velus Jones Jr.,RB,RB/FLEX,NO,2,4000,0.0,0.0,0.0,0.0
Brandin Cooks,WR,WR/FLEX,NO,2,4000,0.02%,4.6,4.6,0.0
Tyrod Taylor,QB,QB,NYJ,2,4000,0.0,0.0,0.0,0.0
Brady Cook,QB,QB,NYJ,2,4000,0.0,0.0,0.0,0.0
Mitchell Trubisky,QB,QB,BUF,2,4000,0.0,0.0,0.0,0.0
Shane Buechele,QB,QB,BUF,2,4000,0.0,0.0,0.0,0.0
Isaiah Davis,RB,RB/FLEX,NYJ,2,4000,0.0,0.0,0.0,0.0
Kene Nwangwu,RB,RB/FLEX,NYJ,2,4000,0.0,0.0,0.0,0.0
Lawrance Toafili,RB,RB/FLEX,NYJ,2,4000,0.0,0.0,0.0,0.0
Andrew Beck,RB,RB/FLEX,NYJ,2,4000,0.0,0.0,0.0,0.0
Reggie Gilliam,RB,RB/FLEX,BUF,2,4000,0.0,0.0,0.0,0.0
Frank Gore Jr.,RB,RB/FLEX,BUF,2,4000,0.0,0.0,0.0,0.0
Drew Lock,QB,QB,SEA,2,4000,0.0,0.0,0.0,0.0
Jalen Milroe,QB,QB,SEA,2,4000,0.0,0.0,0.0,0.0
Mason Rudolph,QB,QB,PIT,2,4000,0.0,0.0,0.0,0.0
Skylar Thompson,QB,QB,PIT,2,4000,0.0,0.0,0.0,0.0
Will Howard,QB,QB,PIT,2,4000,0.0,0.0,0.0,0.0
George Holani,RB,RB/FLEX,SEA,2,4000,0.0,0.0,0.0,0.0
Kenny McIntosh,RB,RB/FLEX,SEA,2,4000,0.0,0.0,0.0,0.0
Robbie Ouzts,RB,RB/FLEX,SEA,2,4000,0.01%,0.0,0.0,0.0
Jacardia Wright,RB,RB/FLEX,SEA,2,4000,0.0,0.0,0.0,0.0
Brady Russell,RB,RB/FLEX,SEA,2,4000,0.0,0.0,0.0,0.0
Damien Martinez,RB,RB/FLEX,SEA,2,4000,0.0,0.0,0.0,0.0
Lew Nichols,RB,RB/FLEX,PIT,2,4000,0.0,0.0,0.0,0.0
Trey Sermon,RB,RB/FLEX,PIT,2,4000,0.0,0.0,0.0,0.0
Stetson Bennett IV,QB,QB,LAR,2,4000,0.0,0.0,0.0,0.0
Brandon Allen,QB,QB,TEN,2,4000,0.0,0.0,0.0,0.0
Will Levis,QB,QB,TEN,2,4000,0.0,0.0,0.0,0.0
Trevor Siemian,QB,QB,TEN,2,4000,0.0,0.0,0.0,0.0
Jarquez Hunter,RB,RB/FLEX,LAR,2,4000,0.0,0.0,0.0,0.0
Cody Schrader,RB,RB/FLEX,LAR,2,4000,0.0,0.0,0.0,0.0
Ronnie Rivers,RB,RB/FLEX,LAR,2,4000,0.0,0.0,0.0,0.0
Julius Chestnut,RB,RB/FLEX,TEN,2,4000,0.0,0.0,0.0,0.0
Kalel Mullings,RB,RB/FLEX,TEN,2,4000,0.0,0.0,0.0,0.0
Tyjae Spears,RB,RB/FLEX,TEN,2,4000,0.0,0.0,0.0,0.0
Jordan Mims,RB,RB/FLEX,TEN,2,4000,0.0,0.0,0.0,0.0
Hendon Hooker,QB,QB,CAR,2,4000,0.0,0.0,0.0,0.0
Jacoby Brissett,QB,QB,ARI,2,4000,0.0,0.0,0.0,0.0
Kedon Slovis,QB,QB,ARI,2,4000,0.0,0.0,0.0,0.0
Trevor Etienne,RB,RB/FLEX,CAR,2,4000,0.02%,1.2,1.2,0.0
Jonathon Brooks,RB,RB/FLEX,CAR,2,4000,0.0,0.0,0.0,0.0
DeeJay Dallas,RB,RB/FLEX,CAR,2,4000,0.0,0.0,0.0,0.0
Emari Demercado,RB,RB/FLEX,ARI,2,4000,0.0,0.0,0.0,0.0
Zonovan Knight,RB,RB/FLEX,ARI,2,4000,0.0,0.0,0.0,0.0
Michael Carter,RB,RB/FLEX,ARI,2,4000,0.0,0.0,0.0,0.0
Riley Leonard,QB,QB,IND,2,4000,0.0,0.0,0.0,0.0
Jarrett Stidham,QB,QB,DEN,2,4000,0.0,0.0,0.0,0.0
Sam Ehlinger,QB,QB,DEN,2,4000,0.0,0.0,0.0,0.0
Tyler Goodson,RB,RB/FLEX,IND,2,4000,0.0,0.0,0.0,0.0
Ulysses Bentley IV,RB,RB/FLEX,IND,2,4000,0.0,0.0,0.0,0.0
Salvon Ahmed,RB,RB/FLEX,IND,2,4000,0.0,0.0,0.0,0.0
Khalil Herbert,RB,RB/FLEX,IND,2,4000,0.0,0.0,0.0,0.0
Michael Burton,RB,RB/FLEX,DEN,2,4000,0.0,0.0,0.0,0.0
Adam Prentice,RB,RB/FLEX,DEN,2,4000,0.0,0.0,0.0,0.0
Tanner McKee,QB,QB,PHI,2,4000,0.0,0.0,0.0,0.0
Sam Howell,QB,QB,PHI,2,4000,0.0,0.0,0.0,0.0
Kyle McCord,QB,QB,PHI,2,4000,0.0,0.0,0.0,0.0
Gardner Minshew II,QB,QB,KC,2,4000,0.0,0.0,0.0,0.0
Chris Oladokun,QB,QB,KC,2,4000,0.0,0.0,0.0,0.0
Audric Estime,RB,RB/FLEX,PHI,2,4000,0.0,0.0,0.0,0.0
Ben VanSumeren,RB,RB/FLEX,PHI,2,4000,0.0,0.0,0.0,0.0
Brashard Smith,RB,RB/FLEX,KC,2,4000,0.01%,0.2,0.2,0.0
Elijah Mitchell,RB,RB/FLEX,KC,2,4000,0.0,0.0,0.0,0.0
Keaontay Ingram,RB,RB/FLEX,KC,2,4000,0.0,0.0,0.0,0.0
Clyde Edwards-Helaire,RB,RB/FLEX,KC,2,4000,0.0,0.0,0.0,0.0
Carson Steele,RB,RB/FLEX,KC,2,4000,0.0,0.0,0.0,0.0
JuJu Smith-Schuster,WR,WR/FLEX,KC,2,4000,1.23%,1.5,0.0,0.0
Carson Wentz,QB,QB,MIN,2,4000,0.0,0.0,0.0,0.0
Max Brosmer,QB,QB,MIN,2,4000,0.0,0.0,0.0,0.0
Emory Jones,QB,QB,ATL,2,4000,0.0,0.0,0.0,0.0
Easton Stick,QB,QB,ATL,2,4000,0.0,0.0,0.0,0.0
Ty Chandler,RB,RB/FLEX,MIN,2,4000,0.01%,0.0,0.0,0.0
Zavier Scott,RB,RB/FLEX,MIN,2,4000,0.0,0.0,0.0,0.0
Xazavian Valladay,RB,RB/FLEX,MIN,2,4000,0.0,0.0,0.0,0.0
C.J. Ham,RB,RB/FLEX,MIN,2,4000,0.0,0.0,0.0,0.0
Carlos Washington Jr.,RB,RB/FLEX,ATL,2,4000,0.0,0.0,0.0,0.0
Nathan Carter,RB,RB/FLEX,ATL,2,4000,0.0,0.0,0.0,0.0
Ray-Ray McCloud III,WR,WR/FLEX,ATL,2,4000,0.74%,0.0,0.0,0.0
Davis Mills,QB,QB,HOU,2,4000,0.0,0.0,0.0,0.0
Teddy Bridgewater,QB,QB,TB,2,4000,0.0,0.0,0.0,0.0
Connor Bazelak,QB,QB,TB,2,4000,0.0,0.0,0.0,0.0
Graham Mertz,QB,QB,HOU,2,4000,0.0,0.0,0.0,0.0
Joe Mixon,RB,RB/FLEX,HOU,2,4000,0.01%,0.0,0.0,0.0
Sean Tucker,RB,RB/FLEX,TB,2,4000,0.01%,0.0,0.0,0.0
Josh Williams,RB,RB/FLEX,TB,2,4000,0.0,0.0,0.0,0.0
Dare Ogunbowale,RB,RB/FLEX,HOU,2,4000,0.08%,0.0,0.0,0.0
British Brooks,RB,RB/FLEX,HOU,2,4000,0.0,0.0,0.0,0.0
Jawhar Jordan,RB,RB/FLEX,HOU,2,4000,0.0,0.0,0.0,0.0
Trey Lance,QB,QB,LAC,2,4000,0.0,0.0,0.0,0.0
Aidan O'Connell,QB,QB,LV,2,4000,0.0,0.0,0.0,0.0
DJ Uiagalelei,QB,QB,LAC,2,4000,0.0,0.0,0.0,0.0
Cam Miller,QB,QB,LV,2,4000,0.0,0.0,0.0,0.0
Jeff Driskel,QB,QB,LV,2,4000,0.0,0.0,0.0,0.0
Kenny Pickett,QB,QB,LV,2,4000,0.0,0.0,0.0,0.0
Hassan Haskins,RB,RB/FLEX,LAC,2,4000,0.01%,0.0,0.0,0.0
Kimani Vidal,RB,RB/FLEX,LAC,2,4000,0.0,0.0,0.0,0.0
Nyheim Miller-Hines,RB,RB/FLEX,LAC,2,4000,0.01%,0.0,0.0,0.0
Scott Matlock,RB,RB/FLEX,LAC,2,4000,0.0,0.0,0.0,0.0
Amar Johnson,RB,RB/FLEX,LAC,2,4000,0.0,0.0,0.0,0.0
Zamir White,RB,RB/FLEX,LV,2,4000,0.04%,3.3,3.3,0.0
Dylan Laube,RB,RB/FLEX,LV,2,4000,0.01%,3.7,3.7,0.0
Chris Collier,RB,RB/FLEX,LV,2,4000,0.01%,0.0,0.0,0.0
Zach Ertz,TE,TE/FLEX,WAS,2,3900,6.85%,18.4,12.4,6.0
Jonnu Smith,TE,TE/FLEX,PIT,2,3900,5.22%,6.7,6.7,0.0
Tyler Lockett,WR,WR/FLEX,TEN,2,3900,0.05%,2.9,2.9,0.0
Xavier Legette,WR,WR/FLEX,CAR,2,3900,0.24%,0.8,0.0,0.0
Dont'e Thornton Jr.,WR,WR/FLEX,LV,2,3900,0.46%,3.0,3.0,0.0
Jake Ferguson,TE,TE/FLEX,DAL,2,3800,4.25%,16.8,16.8,0.0
Kyle Williams,WR,WR/FLEX,NE,2,3800,0.05%,0.0,0.0,0.0
Marquez Valdes-Scantling,WR,WR/FLEX,SF,2,3800,0.08%,0.0,0.0,0.0
Dallas Goedert,TE,TE/FLEX,PHI,2,3800,0.56%,0.0,0.0,0.0
Tucker Kraft,TE,TE/FLEX,GB,2,3700,9.63%,27.4,21.4,6.0
Ravens,DST,DST,BAL,2,3700,7.42%,15.0,0.0,0.0
Colston Loveland,TE,TE/FLEX,CHI,2,3700,0.27%,0.0,0.0,0.0
Dalton Kincaid,TE,TE/FLEX,BUF,2,3700,7.99%,7.7,7.7,0.0
Michael Wilson,WR,WR/FLEX,ARI,2,3700,0.07%,8.1,2.1,6.0
Troy Franklin,WR,WR/FLEX,DEN,2,3700,0.56%,24.0,18.0,6.0
Jalen Nailor,WR,WR/FLEX,MIN,2,3700,0.40%,6.1,6.1,0.0
Brenton Strange,TE,TE/FLEX,JAX,2,3600,3.94%,4.7,4.7,0.0
KaVontae Turpin,WR,WR/FLEX,DAL,2,3600,0.38%,15.3,9.3,6.0
Olamide Zaccheaus,WR,WR/FLEX,CHI,2,3600,0.54%,4.1,4.1,0.0
Juwan Johnson,TE,TE/FLEX,NO,2,3600,6.44%,15.9,9.9,6.0
49ers,DST,DST,SF,2,3600,3.63%,5.0,0.0,0.0
Jahan Dotson,WR,WR/FLEX,PHI,2,3600,0.79%,1.4,0.0,0.0
Tyquan Thornton,WR,WR/FLEX,KC,2,3600,0.56%,13.9,7.9,6.0
Jack Bech,WR,WR/FLEX,LV,2,3600,0.04%,0.0,0.0,0.0
Andrei Iosivas,WR,WR/FLEX,CIN,2,3500,0.09%,2.2,0.0,0.0
Darren Waller,TE,TE/FLEX,MIA,2,3500,0.0,0.0,0.0,0.0
Luke Farrell,TE,TE/FLEX,SF,2,3500,0.56%,9.5,3.5,6.0
Kendrick Bourne,WR,WR/FLEX,SF,2,3500,0.12%,6.2,6.2,0.0
Josh Reynolds,WR,WR/FLEX,NYJ,2,3500,0.06%,0.0,0.0,0.0
Tutu Atwell,WR,WR/FLEX,LAR,2,3500,0.11%,0.0,0.0,0.0
Broncos,DST,DST,DEN,2,3500,6.43%,0.0,0.0,0.0
Jalen Royals,WR,WR/FLEX,KC,2,3500,0.0,0.0,0.0,0.0
Cade Otton,TE,TE/FLEX,TB,2,3500,0.69%,5.5,5.5,0.0
Jaylin Lane,WR,WR/FLEX,WAS,2,3400,0.03%,1.2,0.0,0.0
Mike Gesicki,TE,TE/FLEX,CIN,2,3400,0.26%,4.8,4.8,0.0
Darius Slayton,WR,WR/FLEX,NYG,2,3400,0.04%,8.1,8.1,0.0
Allen Lazard,WR,WR/FLEX,NYJ,2,3400,0.10%,0.0,0.0,0.0
Elijah Moore,WR,WR/FLEX,BUF,2,3400,0.01%,10.7,4.7,6.0
Pat Freiermuth,TE,TE/FLEX,PIT,2,3400,0.69%,6.1,6.1,0.0
Hunter Renfrow,WR,WR/FLEX,CAR,2,3400,0.08%,23.8,11.8,12.0
Cardinals,DST,DST,ARI,2,3400,4.90%,13.0,0.0,0.0
Luke McCaffrey,WR,WR/FLEX,WAS,2,3300,0.04%,4.9,4.9,0.0
Isaiah Bond,WR,WR/FLEX,CLE,2,3300,0.01%,2.5,0.0,0.0
Parker Washington,WR,WR/FLEX,JAX,2,3300,0.01%,12.6,12.6,0.0
Noah Fant,TE,TE/FLEX,CIN,2,3300,0.98%,5.8,5.8,0.0
Jalen Tolbert,WR,WR/FLEX,DAL,2,3300,0.07%,3.6,3.6,0.0
Isaac TeSlaa,WR,WR/FLEX,DET,2,3300,0.20%,3.9,3.9,0.0
Malik Washington,WR,WR/FLEX,MIA,2,3300,0.06%,9.5,9.5,0.0
Jacob Cowing,WR,WR/FLEX,SF,2,3300,0.0,0.0,0.0,0.0
Bills,DST,DST,BUF,2,3300,1.64%,10.0,0.0,0.0
Ben Skowronek,WR,WR/FLEX,PIT,2,3300,0.09%,0.0,0.0,0.0
Chig Okonkwo,TE,TE/FLEX,TEN,2,3300,0.78%,7.5,7.5,0.0
Greg Dortch,WR,WR/FLEX,ARI,2,3300,0.02%,2.1,0.0,0.0
John Metchie III,WR,WR/FLEX,PHI,2,3300,0.0,0.0,0.0,0.0
Tai Felton,WR,WR/FLEX,MIN,2,3300,0.03%,0.0,0.0,0.0
Vikings,DST,DST,MIN,2,3300,1.53%,5.0,0.0,0.0
Jaylin Noel,WR,WR/FLEX,HOU,2,3300,0.01%,0.0,0.0,0.0
Tre Tucker,WR,WR/FLEX,LV,2,3300,1.79%,4.9,4.9,0.0
Michael Mayer,TE,TE/FLEX,LV,2,3300,1.40%,2.9,2.9,0.0
Dontayvion Wicks,WR,WR/FLEX,GB,2,3200,0.38%,8.4,8.4,0.0
Isaiah Likely,TE,TE/FLEX,BAL,2,3200,0.01%,0.0,0.0,0.0
Tim Patrick,WR,WR/FLEX,JAX,2,3200,0.0,0.0,0.0,0.0
Kalif Raymond,WR,WR/FLEX,DET,2,3200,0.03%,3.3,3.3,0.0
Cole Kmet,TE,TE/FLEX,CHI,2,3200,0.21%,4.9,4.9,0.0
Lions,DST,DST,DET,2,3200,2.41%,8.0,0.0,0.0
Nick Westbrook-Ikhine,WR,WR/FLEX,MIA,2,3200,0.02%,3.8,3.8,0.0
Devaughn Vele,WR,WR/FLEX,NO,2,3200,0.04%,7.3,1.3,6.0
Jake Tonges,TE,TE/FLEX,SF,2,3200,1.83%,7.1,7.1,0.0
